label	text
REAL	A technology firm launched an upgraded cybersecurity system to prevent data breaches.
FAKE	A viral report claims that gravity will temporarily stop working next week.
FAKE	Doctors allegedly discovered that drinking only soda cures all known diseases.
FAKE	Authorities admitted to replacing world leaders with robotic clones controlled remotely.
REAL	The Supreme Court delivered a verdict regarding environmental protection regulations.
FAKE	A viral report claims that gravity will temporarily stop working next week.
FAKE	Researchers supposedly found that staring at the sun increases intelligence instantly.
REAL	Researchers confirmed progress in vaccine development after successful clinical trials.
FAKE	A hidden microchip has been installed in household appliances to monitor citizens secretly.
REAL	The education department introduced reforms to modernize the national curriculum.
REAL	Scientists at a national research institute published findings on renewable energy efficiency.
FAKE	A hidden microchip has been installed in household appliances to monitor citizens secretly.
FAKE	A viral report claims that gravity will temporarily stop working next week.
REAL	The central bank released updated economic projections based on current inflation trends.
REAL	Scientists at a national research institute published findings on renewable energy efficiency.
REAL	A technology firm launched an upgraded cybersecurity system to prevent data breaches.
FAKE	Officials secretly signed a treaty with extraterrestrials to exchange resources for advanced weapons.
REAL	Meteorological officials reported seasonal rainfall patterns consistent with climate forecasts.
REAL	The Ministry of Health announced new public health guidelines following a recent nationwide survey.
FAKE	A viral report claims that gravity will temporarily stop working next week.
FAKE	Experts claim that switching off WiFi at night can reverse aging by ten years.
FAKE	Officials secretly signed a treaty with extraterrestrials to exchange resources for advanced weapons.
FAKE	Researchers supposedly found that staring at the sun increases intelligence instantly.
REAL	Scientists at a national research institute published findings on renewable energy efficiency.
FAKE	Researchers supposedly found that staring at the sun increases intelligence instantly.
REAL	The central bank released updated economic projections based on current inflation trends.
REAL	The central bank released updated economic projections based on current inflation trends.
REAL	The central bank released updated economic projections based on current inflation trends.
FAKE	Researchers supposedly found that staring at the sun increases intelligence instantly.
FAKE	Breaking reports suggest that trees can now communicate government secrets through WiFi signals.
FAKE	Experts claim that switching off WiFi at night can reverse aging by ten years.
FAKE	A viral report claims that gravity will temporarily stop working next week.
FAKE	A viral report claims that gravity will temporarily stop working next week.
REAL	A new infrastructure project was inaugurated to improve transportation facilities in urban areas.
FAKE	Researchers supposedly found that staring at the sun increases intelligence instantly.
REAL	The Supreme Court delivered a verdict regarding environmental protection regulations.
REAL	The government approved a budget allocation for rural development initiatives.
REAL	A technology firm launched an upgraded cybersecurity system to prevent data breaches.
FAKE	Breaking reports suggest that trees can now communicate government secrets through WiFi signals.
FAKE	A hidden microchip has been installed in household appliances to monitor citizens secretly.
REAL	Meteorological officials reported seasonal rainfall patterns consistent with climate forecasts.
FAKE	Scientists confirmed that consuming only chocolate for a month grants telepathic abilities.
FAKE	Doctors allegedly discovered that drinking only soda cures all known diseases.
FAKE	Doctors allegedly discovered that drinking only soda cures all known diseases.
REAL	A technology firm launched an upgraded cybersecurity system to prevent data breaches.
FAKE	Government insiders revealed a secret underground alien base beneath a historic monument.
REAL	The Supreme Court delivered a verdict regarding environmental protection regulations.
FAKE	Researchers supposedly found that staring at the sun increases intelligence instantly.
REAL	A new infrastructure project was inaugurated to improve transportation facilities in urban areas.
REAL	The Ministry of Health announced new public health guidelines following a recent nationwide survey.
REAL	A new infrastructure project was inaugurated to improve transportation facilities in urban areas.
FAKE	A hidden microchip has been installed in household appliances to monitor citizens secretly.
REAL	A new infrastructure project was inaugurated to improve transportation facilities in urban areas.
FAKE	Authorities admitted to replacing world leaders with robotic clones controlled remotely.
REAL	The Supreme Court delivered a verdict regarding environmental protection regulations.
FAKE	A hidden microchip has been installed in household appliances to monitor citizens secretly.
FAKE	Researchers supposedly found that staring at the sun increases intelligence instantly.
FAKE	Doctors allegedly discovered that drinking only soda cures all known diseases.
REAL	Meteorological officials reported seasonal rainfall patterns consistent with climate forecasts.
FAKE	Doctors allegedly discovered that drinking only soda cures all known diseases.
FAKE	Government insiders revealed a secret underground alien base beneath a historic monument.
FAKE	Researchers supposedly found that staring at the sun increases intelligence instantly.
FAKE	A hidden microchip has been installed in household appliances to monitor citizens secretly.
FAKE	Breaking reports suggest that trees can now communicate government secrets through WiFi signals.
REAL	A technology firm launched an upgraded cybersecurity system to prevent data breaches.
FAKE	A hidden microchip has been installed in household appliances to monitor citizens secretly.
REAL	Scientists at a national research institute published findings on renewable energy efficiency.
REAL	Meteorological officials reported seasonal rainfall patterns consistent with climate forecasts.
REAL	The central bank released updated economic projections based on current inflation trends.
REAL	The Ministry of Health announced new public health guidelines following a recent nationwide survey.
REAL	The Ministry of Health announced new public health guidelines following a recent nationwide survey.
REAL	The Supreme Court delivered a verdict regarding environmental protection regulations.
